subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	0.00 / 1.72	13.79 / 13.79	15.52 / 17.24	34.48 / 34.48	51.72 / 53.45	72.41 / 72.41
hand-crafted	layer_1	0.00 / 1.72	13.79 / 12.07	17.24 / 17.24	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_2	0.00 / 1.72	12.07 / 13.79	17.24 / 17.24	34.48 / 34.48	51.72 / 53.45	72.41 / 72.41
hand-crafted	layer_3	0.00 / 1.72	12.07 / 12.07	17.24 / 17.24	34.48 / 34.48	53.45 / 51.72	72.41 / 72.41
hand-crafted	layer_4	1.72 / 1.72	12.07 / 12.07	17.24 / 17.24	34.48 / 34.48	53.45 / 53.45	72.41 / 72.41
hand-crafted	layer_5	0.00 / 1.72	12.07 / 12.07	15.52 / 17.24	34.48 / 34.48	53.45 / 53.45	72.41 / 72.41
hand-crafted	layer_6	0.00 / 0.00	12.07 / 12.07	15.52 / 17.24	34.48 / 34.48	53.45 / 55.17	72.41 / 72.41
hand-crafted	layer_7	0.00 / 0.00	12.07 / 12.07	13.79 / 17.24	34.48 / 34.48	53.45 / 55.17	72.41 / 72.41
hand-crafted	layer_8	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_9	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_10	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_11	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_12	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_13	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_14	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_15	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_16	0.00 / 0.00	12.07 / 12.07	13.79 / 15.52	34.48 / 34.48	50.00 / 50.00	70.69 / 72.41
hand-crafted	layer_17	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_18	0.00 / 0.00	10.34 / 10.34	15.52 / 15.52	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_19	0.00 / 0.00	10.34 / 10.34	15.52 / 15.52	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_20	0.00 / 0.00	10.34 / 10.34	15.52 / 15.52	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_21	0.00 / 0.00	10.34 / 10.34	17.24 / 15.52	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_22	0.00 / 0.00	10.34 / 10.34	17.24 / 18.97	34.48 / 34.48	48.28 / 48.28	68.97 / 70.69
hand-crafted	layer_23	0.00 / 0.00	10.34 / 10.34	17.24 / 17.24	34.48 / 34.48	48.28 / 48.28	68.97 / 70.69
hand-crafted	layer_24	0.00 / 0.00	10.34 / 10.34	17.24 / 18.97	34.48 / 34.48	48.28 / 48.28	68.97 / 70.69
hand-crafted	layer_25	0.00 / 0.00	10.34 / 10.34	17.24 / 18.97	34.48 / 34.48	48.28 / 48.28	68.97 / 68.97
hand-crafted	layer_26	0.00 / 0.00	12.07 / 10.34	18.97 / 18.97	34.48 / 34.48	48.28 / 48.28	68.97 / 68.97
hand-crafted	layer_27	0.00 / 0.00	12.07 / 10.34	18.97 / 18.97	34.48 / 34.48	48.28 / 48.28	68.97 / 68.97
hand-crafted	layer_28	0.00 / 0.00	10.34 / 12.07	18.97 / 17.24	34.48 / 34.48	48.28 / 48.28	68.97 / 68.97
hand-crafted	layer_29	0.00 / 0.00	13.79 / 12.07	18.97 / 17.24	32.76 / 32.76	48.28 / 44.83	67.24 / 65.52
hand-crafted	layer_30	0.00 / 1.72	12.07 / 12.07	18.97 / 13.79	34.48 / 34.48	48.28 / 48.28	68.97 / 72.41
hand-crafted	layer_31	1.72 / 1.72	12.07 / 12.07	13.79 / 13.79	36.21 / 36.21	50.00 / 50.00	70.69 / 72.41
hand-crafted	lm_head	1.72 / 3.45	10.34 / 12.07	25.86 / 13.79	27.59 / 36.21	44.83 / 51.72	65.52 / 72.41
algorithm-generated	layer_0	4.76 / 3.97	50.00 / 48.41	100.00 / 100.00	34.92 / 34.92	83.33 / 81.75	100.00 / 100.00
algorithm-generated	layer_1	3.97 / 4.76	49.21 / 51.59	100.00 / 100.00	34.13 / 36.51	81.75 / 83.33	100.00 / 100.00
algorithm-generated	layer_2	3.97 / 5.56	49.21 / 48.41	100.00 / 100.00	34.92 / 35.71	82.54 / 82.54	100.00 / 100.00
algorithm-generated	layer_3	3.97 / 4.76	50.79 / 48.41	100.00 / 100.00	36.51 / 36.51	84.92 / 81.75	100.00 / 100.00
algorithm-generated	layer_4	3.97 / 4.76	50.00 / 49.21	100.00 / 100.00	35.71 / 37.30	86.51 / 84.13	100.00 / 100.00
algorithm-generated	layer_5	3.97 / 3.97	49.21 / 48.41	100.00 / 100.00	34.92 / 35.71	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_6	5.56 / 5.56	50.79 / 49.21	100.00 / 100.00	36.51 / 36.51	84.92 / 84.13	100.00 / 100.00
algorithm-generated	layer_7	6.35 / 5.56	51.59 / 51.59	100.00 / 100.00	36.51 / 36.51	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_8	6.35 / 5.56	53.17 / 53.17	100.00 / 100.00	36.51 / 36.51	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_9	6.35 / 5.56	53.97 / 54.76	100.00 / 100.00	36.51 / 36.51	85.71 / 86.51	100.00 / 100.00
algorithm-generated	layer_10	6.35 / 5.56	54.76 / 54.76	100.00 / 100.00	37.30 / 36.51	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_11	7.14 / 6.35	54.76 / 54.76	100.00 / 100.00	38.10 / 37.30	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_12	6.35 / 6.35	53.97 / 54.76	100.00 / 100.00	38.10 / 38.10	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_13	6.35 / 6.35	53.97 / 54.76	100.00 / 100.00	37.30 / 37.30	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_14	5.56 / 6.35	53.17 / 51.59	100.00 / 100.00	37.30 / 38.10	87.30 / 86.51	100.00 / 100.00
algorithm-generated	layer_15	6.35 / 6.35	51.59 / 51.59	100.00 / 100.00	38.10 / 36.51	87.30 / 87.30	100.00 / 100.00
algorithm-generated	layer_16	4.76 / 6.35	53.97 / 53.97	100.00 / 100.00	36.51 / 37.30	88.89 / 88.89	100.00 / 100.00
algorithm-generated	layer_17	5.56 / 5.56	55.56 / 53.97	100.00 / 100.00	35.71 / 36.51	89.68 / 88.89	100.00 / 100.00
algorithm-generated	layer_18	5.56 / 5.56	56.35 / 55.56	100.00 / 100.00	35.71 / 36.51	89.68 / 89.68	100.00 / 100.00
algorithm-generated	layer_19	4.76 / 5.56	56.35 / 55.56	100.00 / 100.00	34.13 / 35.71	89.68 / 88.89	100.00 / 100.00
algorithm-generated	layer_20	5.56 / 6.35	57.14 / 54.76	100.00 / 100.00	33.33 / 37.30	88.89 / 89.68	100.00 / 100.00
algorithm-generated	layer_21	4.76 / 6.35	55.56 / 55.56	100.00 / 100.00	33.33 / 35.71	89.68 / 88.89	100.00 / 100.00
algorithm-generated	layer_22	6.35 / 6.35	57.14 / 56.35	100.00 / 100.00	34.13 / 34.13	88.89 / 89.68	100.00 / 100.00
algorithm-generated	layer_23	6.35 / 5.56	56.35 / 55.56	100.00 / 100.00	33.33 / 33.33	88.89 / 89.68	100.00 / 100.00
algorithm-generated	layer_24	6.35 / 5.56	55.56 / 53.97	100.00 / 100.00	33.33 / 33.33	88.89 / 88.89	100.00 / 100.00
algorithm-generated	layer_25	5.56 / 7.14	56.35 / 55.56	100.00 / 100.00	32.54 / 33.33	88.89 / 87.30	100.00 / 100.00
algorithm-generated	layer_26	6.35 / 7.14	56.35 / 56.35	100.00 / 100.00	34.13 / 34.92	88.89 / 88.89	100.00 / 100.00
algorithm-generated	layer_27	7.94 / 7.94	57.14 / 56.35	100.00 / 100.00	35.71 / 34.92	88.89 / 88.10	100.00 / 100.00
algorithm-generated	layer_28	7.94 / 7.94	57.14 / 57.94	100.00 / 100.00	35.71 / 33.33	88.10 / 88.89	100.00 / 100.00
algorithm-generated	layer_29	7.94 / 7.14	56.35 / 58.73	100.00 / 100.00	34.13 / 35.71	89.68 / 88.10	100.00 / 100.00
algorithm-generated	layer_30	6.35 / 6.35	57.14 / 57.14	100.00 / 100.00	34.92 / 35.71	88.89 / 88.89	100.00 / 100.00
algorithm-generated	layer_31	5.56 / 5.56	58.73 / 56.35	100.00 / 100.00	37.30 / 35.71	89.68 / 88.89	100.00 / 100.00
algorithm-generated	lm_head	7.14 / 6.35	72.22 / 56.35	100.00 / 100.00	38.10 / 38.10	94.44 / 88.10	100.00 / 100.00
