strategy	config	step_acc	agent_acc
attn_weights	k/15	0.1429	0.3333
attn_weights	k/34	0.1349	0.3333
attn_weights	k/26	0.1349	0.3730
mlp_weights	gate/30	0.1349	0.3571
mlp_weights	up/30	0.1349	0.3492
mlp_weights	gate/35	0.1349	0.3016
attn_weights	k/33	0.1270	0.3571
attn_weights	q/30	0.1270	0.3175
attn_weights	q/33	0.1270	0.3492
attn_weights	k/7	0.1270	0.3968
mlp_weights	up/31	0.1270	0.3333
mlp_weights	gate/32	0.1270	0.3413
attn_weights	v/32	0.1270	0.3175
attn_weights	k/19	0.1270	0.3730
attn_weights	k/9	0.1270	0.4127
attn_weights	o/28	0.1270	0.3175
attn_weights	q/15	0.1270	0.3730
mlp	mlp/32	0.1190	0.3254
mlp	mlp/30	0.1190	0.3254
attn_weights	k/20	0.1190	0.3730
attn_weights	k/30	0.1190	0.3254
mlp	mlp/33	0.1190	0.3333
mlp	mlp/35	0.1190	0.2540
mlp	mlp/29	0.1190	0.3413
attn_weights	v/15	0.1190	0.3254
attn_weights	o/12	0.1190	0.3571
attn_weights	o/13	0.1190	0.3571
layer	layer/31	0.1190	0.3254
attn_weights	o/8	0.1190	0.3492
mlp_weights	gate/25	0.1190	0.3571
mlp_weights	gate/24	0.1190	0.3571
attn_weights	q/14	0.1190	0.3730
mlp_weights	gate/33	0.1190	0.3333
attn_weights	q/22	0.1190	0.3492
attn_weights	q/26	0.1190	0.3492
mlp_weights	up/33	0.1190	0.3254
attn_weights	q/12	0.1190	0.3810
attn	attn/9	0.1190	0.3889
attn	attn/14	0.1190	0.3492
attn_weights	q/7	0.1190	0.3889
layer	layer/15	0.1190	0.3492
attn_weights	o/14	0.1190	0.3413
attn_weights	o/18	0.1190	0.3571
attn	attn/15	0.1190	0.3333
attn	attn/31	0.1190	0.3095
attn_weights	q/9	0.1190	0.3968
attn	attn/10	0.1190	0.3413
mlp_weights	up/32	0.1190	0.3254
attn_weights	q/19	0.1190	0.3810
attn_weights	k/12	0.1190	0.3810
attn_weights	k/18	0.1190	0.3730
attn_weights	k/13	0.1111	0.3730
attn_weights	k/14	0.1111	0.3571
mlp_weights	gate/10	0.1111	0.3810
attn_weights	k/21	0.1111	0.3254
attn_weights	v/6	0.1111	0.3413
attn_weights	v/14	0.1111	0.3413
attn_weights	v/9	0.1111	0.3968
attn	attn/6	0.1111	0.3413
attn	attn/12	0.1111	0.3651
mlp_weights	down/10	0.1111	0.3651
attn_weights	q/20	0.1111	0.3651
attn_weights	q/17	0.1111	0.3571
attn_weights	q/28	0.1111	0.3254
attn_weights	k/2	0.1111	0.3333
attn_weights	q/34	0.1111	0.3095
attn_weights	q/27	0.1111	0.3413
attn_weights	k/11	0.1111	0.3651
mlp_weights	gate/12	0.1111	0.3810
attn_weights	k/22	0.1111	0.3333
attn_weights	k/32	0.1111	0.3413
attn_weights	k/31	0.1111	0.3730
mlp	mlp/24	0.1111	0.3492
attn_weights	v/11	0.1111	0.3968
attn_weights	v/19	0.1111	0.3175
attn_weights	v/8	0.1111	0.3571
attn_weights	v/7	0.1111	0.3651
mlp	mlp/10	0.1111	0.3651
layer	layer/29	0.1111	0.3333
attn_weights	o/32	0.1111	0.3175
attn_weights	o/9	0.1111	0.3651
mlp	mlp/31	0.1111	0.3175
mlp_weights	gate/5	0.1111	0.3413
mlp_weights	gate/11	0.1111	0.3810
mlp_weights	gate/20	0.1111	0.3571
mlp	mlp/19	0.1111	0.3651
attn_weights	k/27	0.1111	0.3492
layer	layer/33	0.1111	0.3413
attn_weights	o/5	0.1111	0.3333
layer	layer/35	0.1111	0.2540
mlp	mlp/11	0.1111	0.3730
layer	layer/32	0.1111	0.3413
layer	layer/30	0.1111	0.3095
attn_weights	o/11	0.1111	0.3492
attn_weights	o/31	0.1111	0.3175
attn	attn/13	0.1111	0.3492
mlp_weights	down/29	0.1111	0.3095
attn_weights	q/11	0.1111	0.3651
attn	attn/7	0.1111	0.3651
attn_weights	q/24	0.1111	0.3730
attn	attn/18	0.1111	0.3571
attn	attn/8	0.1111	0.3730
mlp_weights	down/28	0.1111	0.3413
attn_weights	o/29	0.1111	0.3175
layer	layer/17	0.1111	0.3492
layer	layer/5	0.1111	0.3333
layer	layer/11	0.1111	0.3730
attn_weights	o/15	0.1111	0.3175
attn_weights	q/8	0.1111	0.3730
attn_weights	q/6	0.1111	0.3571
attn_weights	o/19	0.1111	0.3175
mlp_weights	down/30	0.1111	0.3175
mlp_weights	gate/26	0.1111	0.3492
mlp_weights	up/11	0.1111	0.3730
mlp_weights	up/15	0.1111	0.3492
mlp_weights	gate/29	0.1111	0.3571
mlp_weights	down/11	0.1111	0.3730
mlp_weights	down/5	0.1111	0.3413
mlp_weights	down/17	0.1111	0.3492
mlp_weights	up/26	0.1111	0.3492
attn_weights	k/8	0.1111	0.3651
mlp_weights	gate/31	0.1111	0.3333
attn_weights	k/6	0.1111	0.3571
mlp_weights	gate/18	0.1032	0.3492
mlp_weights	gate/13	0.1032	0.3730
mlp_weights	gate/14	0.1032	0.3730
mlp_weights	gate/19	0.1032	0.3571
attn_weights	o/34	0.1032	0.2937
attn_weights	o/7	0.1032	0.3413
attn_weights	o/6	0.1032	0.3333
layer	layer/2	0.1032	0.3413
attn_weights	o/10	0.1032	0.3492
mlp_weights	gate/17	0.1032	0.3492
mlp_weights	gate/16	0.1032	0.3492
mlp_weights	gate/15	0.1032	0.3413
mlp_weights	gate/23	0.1032	0.3413
attn_weights	k/28	0.1032	0.3492
mlp	mlp/16	0.1032	0.3492
mlp	mlp/15	0.1032	0.3413
mlp	mlp/18	0.1032	0.3571
mlp	mlp/20	0.1032	0.3492
mlp	mlp/22	0.1032	0.3413
mlp	mlp/17	0.1032	0.3492
mlp	mlp/23	0.1032	0.3333
mlp	mlp/14	0.1032	0.3492
attn_weights	v/13	0.1032	0.3571
mlp	mlp/25	0.1032	0.3413
attn_weights	v/17	0.1032	0.3413
attn_weights	v/18	0.1032	0.3492
attn_weights	v/12	0.1032	0.3571
layer	layer/23	0.1032	0.3333
mlp	mlp/12	0.1032	0.3651
layer	layer/20	0.1032	0.3492
layer	layer/22	0.1032	0.3254
mlp	mlp/9	0.1032	0.3413
mlp	mlp/8	0.1032	0.3333
mlp	mlp/5	0.1032	0.3333
attn_weights	v/25	0.1032	0.3254
attn_weights	v/20	0.1032	0.3175
attn_weights	k/16	0.1032	0.3254
attn_weights	q/16	0.1032	0.3413
attn_weights	q/21	0.1032	0.3413
attn_weights	q/23	0.1032	0.3810
mlp_weights	down/8	0.1032	0.3333
attn_weights	q/18	0.1032	0.3810
mlp_weights	down/16	0.1032	0.3413
mlp_weights	down/15	0.1032	0.3413
mlp_weights	up/25	0.1032	0.3413
attn_weights	k/1	0.1032	0.3333
mlp_weights	up/24	0.1032	0.3333
mlp_weights	up/23	0.1032	0.3413
mlp_weights	up/22	0.1032	0.3413
mlp_weights	down/14	0.1032	0.3333
mlp_weights	up/29	0.1032	0.3333
mlp_weights	up/27	0.1032	0.3413
mlp_weights	up/19	0.1032	0.3571
mlp_weights	up/20	0.1032	0.3413
mlp_weights	up/21	0.1032	0.3254
mlp_weights	gate/27	0.1032	0.3413
mlp_weights	up/5	0.1032	0.3413
mlp_weights	gate/34	0.1032	0.3095
mlp_weights	up/17	0.1032	0.3413
mlp_weights	up/18	0.1032	0.3571
mlp_weights	up/9	0.1032	0.3413
mlp_weights	up/10	0.1032	0.3571
mlp_weights	up/14	0.1032	0.3333
mlp_weights	up/16	0.1032	0.3492
mlp_weights	up/8	0.1032	0.3333
mlp_weights	up/6	0.1032	0.3175
mlp_weights	down/19	0.1032	0.3492
attn_weights	q/13	0.1032	0.3651
attn	attn/17	0.1032	0.3413
attn	attn/21	0.1032	0.3175
attn	attn/20	0.1032	0.3175
attn	attn/19	0.1032	0.3333
attn	attn/25	0.1032	0.3095
attn	attn/11	0.1032	0.3571
attn	attn/2	0.1032	0.3492
mlp_weights	down/35	0.1032	0.2540
mlp_weights	down/32	0.1032	0.3016
attn_weights	q/10	0.1032	0.3254
mlp_weights	down/23	0.1032	0.3254
mlp_weights	down/22	0.1032	0.3333
mlp_weights	down/20	0.1032	0.3413
mlp_weights	down/21	0.1032	0.3095
mlp_weights	down/18	0.1032	0.3492
attn	attn/33	0.1032	0.3254
attn_weights	o/25	0.1032	0.3175
attn_weights	o/20	0.1032	0.3254
attn	attn/30	0.1032	0.2937
attn_weights	o/27	0.1032	0.3095
attn_weights	q/1	0.1032	0.3333
attn_weights	q/3	0.1032	0.3651
attn_weights	o/17	0.1032	0.3413
attn_weights	o/16	0.1032	0.3254
layer	layer/16	0.1032	0.3413
layer	layer/18	0.1032	0.3571
layer	layer/19	0.1032	0.3492
layer	layer/14	0.1032	0.3333
layer	layer/13	0.1032	0.3571
layer	layer/10	0.1032	0.3492
layer	layer/9	0.1032	0.3413
layer	layer/8	0.1032	0.3492
layer	layer/6	0.0952	0.3254
attn	attn/34	0.0952	0.2937
layer	layer/12	0.0952	0.3492
attn	attn/26	0.0952	0.3254
attn	attn/27	0.0952	0.3254
attn	attn/28	0.0952	0.3254
attn	attn/22	0.0952	0.2937
attn_weights	q/5	0.0952	0.3413
attn	attn/16	0.0952	0.3175
attn_weights	q/2	0.0952	0.3254
attn_weights	q/0	0.0952	0.3175
attn_weights	v/31	0.0952	0.3016
attn_weights	v/33	0.0952	0.3016
layer	lm_head	0.0952	0.2063
layer	layer/25	0.0952	0.3254
layer	layer/21	0.0952	0.3095
attn_weights	v/5	0.0952	0.3175
attn_weights	v/10	0.0952	0.3095
attn_weights	v/22	0.0952	0.2778
attn	attn/29	0.0952	0.3016
mlp_weights	down/33	0.0952	0.2937
mlp_weights	down/9	0.0952	0.3333
mlp_weights	down/2	0.0952	0.3175
mlp_weights	down/25	0.0952	0.3175
mlp_weights	down/31	0.0952	0.3095
attn	attn/5	0.0952	0.3254
attn	attn/4	0.0952	0.3333
mlp_weights	up/12	0.0952	0.3492
mlp_weights	up/13	0.0952	0.3413
mlp_weights	gate/28	0.0952	0.3333
attn_weights	k/29	0.0952	0.3333
attn_weights	k/23	0.0952	0.3810
attn_weights	k/24	0.0952	0.3492
mlp_weights	gate/21	0.0952	0.3413
attn_weights	k/17	0.0952	0.3333
attn_weights	k/5	0.0952	0.3333
mlp_weights	up/35	0.0952	0.2222
attn_weights	q/35	0.0952	0.3095
attn_weights	q/32	0.0952	0.3254
attn_weights	q/31	0.0952	0.3413
attn_weights	q/29	0.0952	0.3254
mlp_weights	down/13	0.0952	0.3492
mlp_weights	down/12	0.0952	0.3413
mlp	mlp/28	0.0952	0.3175
mlp_weights	gate/7	0.0952	0.3175
mlp_weights	gate/6	0.0952	0.3175
mlp_weights	gate/9	0.0952	0.3254
mlp	mlp/27	0.0952	0.3254
mlp	mlp/21	0.0952	0.3413
mlp_weights	gate/8	0.0952	0.3413
mlp_weights	gate/1	0.0952	0.3095
layer	layer/26	0.0952	0.3333
attn_weights	o/4	0.0952	0.3333
layer	layer/3	0.0952	0.3175
layer	layer/34	0.0952	0.2857
attn_weights	o/3	0.0952	0.3571
layer	layer/24	0.0952	0.3333
mlp	mlp/13	0.0952	0.3492
mlp	mlp/6	0.0952	0.3175
attn_weights	o/30	0.0873	0.2619
attn_weights	o/2	0.0873	0.3333
mlp	mlp/2	0.0873	0.3016
attn	attn/32	0.0873	0.3095
attn_weights	o/21	0.0873	0.2937
attn_weights	o/24	0.0873	0.3016
layer	layer/7	0.0873	0.3254
attn_weights	o/26	0.0873	0.3175
mlp_weights	up/0	0.0873	0.2698
attn_weights	k/10	0.0873	0.2937
mlp_weights	down/1	0.0873	0.3016
mlp_weights	up/7	0.0873	0.3254
mlp_weights	up/28	0.0873	0.3016
mlp_weights	up/34	0.0873	0.2778
attn_weights	k/0	0.0873	0.3095
attn_weights	k/3	0.0873	0.3413
mlp_weights	down/7	0.0873	0.3254
attn_weights	q/25	0.0873	0.3175
attn	attn/24	0.0873	0.3175
mlp	mlp/7	0.0873	0.3254
attn_weights	v/2	0.0873	0.3333
layer	embed_tokens	0.0873	0.3413
mlp	mlp/1	0.0873	0.3016
mlp	mlp/0	0.0873	0.2857
attn_weights	v/3	0.0873	0.3254
attn_weights	v/21	0.0873	0.3016
attn_weights	v/16	0.0873	0.3016
mlp_weights	gate/3	0.0873	0.2937
mlp_weights	gate/2	0.0873	0.2937
mlp_weights	gate/0	0.0873	0.2698
mlp	mlp/26	0.0873	0.3254
mlp_weights	up/1	0.0873	0.2937
attn_weights	v/28	0.0873	0.2857
attn_weights	v/23	0.0873	0.3016
attn_weights	v/27	0.0873	0.2778
attn	attn/1	0.0873	0.3095
attn	attn/0	0.0873	0.3016
attn_weights	q/4	0.0873	0.3254
mlp_weights	down/24	0.0873	0.3095
mlp_weights	gate/22	0.0873	0.3333
mlp	mlp/34	0.0873	0.2619
attn_weights	o/22	0.0794	0.2778
layer	layer/4	0.0794	0.3095
attn_weights	o/23	0.0794	0.2937
mlp_weights	down/6	0.0794	0.3175
mlp_weights	down/4	0.0794	0.3095
attn	attn/23	0.0794	0.3095
mlp_weights	down/26	0.0794	0.3095
layer	layer/1	0.0794	0.3175
attn_weights	o/33	0.0794	0.2857
attn_weights	v/24	0.0794	0.2857
mlp_weights	up/2	0.0794	0.2778
attn_weights	k/4	0.0794	0.3175
mlp_weights	down/0	0.0794	0.2778
mlp_weights	up/3	0.0794	0.2937
mlp_weights	up/4	0.0794	0.3016
mlp_weights	down/27	0.0794	0.3175
mlp_weights	down/3	0.0794	0.3095
attn	attn/3	0.0794	0.3492
attn_weights	v/0	0.0794	0.2619
attn_weights	v/26	0.0794	0.2937
attn_weights	k/35	0.0794	0.3095
attn_weights	v/1	0.0794	0.3016
mlp_weights	gate/4	0.0794	0.3095
layer	layer/0	0.0794	0.2778
attn_weights	o/1	0.0794	0.3095
attn_weights	o/0	0.0794	0.2698
attn_weights	v/30	0.0794	0.2381
mlp	mlp/4	0.0794	0.3095
mlp	mlp/3	0.0794	0.3016
layer	layer/28	0.0794	0.3095
layer	layer/27	0.0794	0.2937
attn_weights	v/29	0.0714	0.2937
attn_weights	k/25	0.0714	0.3016
mlp_weights	down/34	0.0714	0.2540
attn_weights	v/4	0.0714	0.2937
attn_weights	v/35	0.0714	0.2063
attn_weights	v/34	0.0714	0.2540
attn_weights	o/35	0.0714	0.1984
attn	attn/35	0.0556	0.2222
